"","COVID-19 Facility","COVID-19 Isolation","Delivery Room","Emergency Room","Endoscopy unit","Hemodialysis","Laboratory","Newborn Intensive Care Unit","Operating Room","Pediatrics Ward","Private Ward"
"n","4","3","2","4","1","4","1","4","4","4","7"
"Acceptance (mean (SD))","5.5 (1.3)","6.0 (2.0)","5.5 (2.1)","5.2 (1.7)","5.0 (NA)","4.8 (1.3)","5.0 (NA)","7.0 (1.4)","5.8 (1.5)","4.8 (1.5)","6.1 (2.0)"
"Active Coping (mean (SD))","5.2 (1.9)","5.7 (0.6)","4.0 (0.0)","5.8 (2.6)","6.0 (NA)","5.5 (1.3)","6.0 (NA)","6.5 (1.7)","6.0 (0.8)","3.8 (1.3)","4.3 (1.5)"
"Religion (mean (SD))","5.2 (2.8)","5.3 (0.6)","4.0 (1.4)","5.5 (1.9)","8.0 (NA)","7.0 (0.8)","5.0 (NA)","4.5 (1.7)","7.5 (0.6)","5.8 (2.6)","5.9 (1.6)"
"Planning (mean (SD))","5.2 (2.1)","5.3 (1.2)","5.5 (3.5)","4.2 (1.7)","7.0 (NA)","6.0 (0.8)","4.0 (NA)","6.8 (1.3)","5.8 (0.5)","5.0 (1.6)","5.7 (2.1)"
"Positive Reframing (mean (SD))","5.5 (1.9)","6.3 (1.5)","4.5 (0.7)","4.8 (3.2)","7.0 (NA)","5.5 (1.7)","5.0 (NA)","7.0 (1.2)","7.0 (1.4)","5.0 (2.2)","5.6 (2.1)"
"Instrumental Support (mean (SD))","5.2 (1.3)","5.0 (2.6)","4.0 (1.4)","5.8 (1.5)","8.0 (NA)","4.5 (1.3)","2.0 (NA)","4.8 (1.5)","5.0 (0.8)","4.2 (2.1)","4.6 (1.6)"
"Emotional Support (mean (SD))","6.8 (1.0)","6.0 (2.0)","4.0 (0.0)","3.0 (1.4)","7.0 (NA)","4.8 (2.1)","6.0 (NA)","5.5 (2.1)","6.2 (0.5)","4.2 (2.6)","4.6 (1.4)"
"Humor (mean (SD))","5.5 (1.9)","5.3 (2.3)","6.5 (2.1)","3.2 (1.9)","4.0 (NA)","3.0 (2.0)","3.0 (NA)","5.0 (1.8)","4.2 (0.5)","4.0 (1.4)","3.7 (1.1)"
"Venting (mean (SD))","5.0 (0.8)","5.3 (1.5)","5.0 (0.0)","4.0 (1.8)","4.0 (NA)","3.0 (1.2)","3.0 (NA)","4.8 (2.1)","4.2 (1.7)","3.5 (1.0)","4.4 (1.6)"
"Behavioral Disengagement (mean (SD))","2.8 (1.5)","2.7 (0.6)","4.5 (2.1)","4.8 (2.1)","2.0 (NA)","3.0 (1.2)","5.0 (NA)","2.8 (1.5)","2.8 (1.0)","2.2 (0.5)","2.7 (1.0)"
"Substance Abuse (mean (SD))","2.0 (0.0)","3.3 (2.3)","2.0 (0.0)","4.8 (3.2)","2.0 (NA)","2.0 (0.0)","2.0 (NA)","2.0 (0.0)","2.0 (0.0)","2.0 (0.0)","2.1 (0.4)"
"Denial (mean (SD))","2.0 (0.8)","2.7 (1.2)","4.0 (2.8)","4.5 (2.6)","2.0 (NA)","2.5 (1.0)","2.0 (NA)","2.5 (1.0)","2.5 (1.0)","2.0 (0.0)","2.3 (0.8)"
"Self-Distraction (mean (SD))","6.0 (1.8)","6.7 (1.5)","5.5 (2.1)","3.8 (1.5)","4.0 (NA)","5.0 (1.4)","5.0 (NA)","5.8 (1.3)","5.2 (1.3)","4.8 (1.3)","4.7 (1.5)"
"Self-Blame (mean (SD))","4.0 (0.8)","4.0 (1.0)","5.0 (4.2)","2.2 (0.5)","2.0 (NA)","4.8 (2.5)","4.0 (NA)","3.5 (1.9)","3.2 (1.3)","3.2 (1.3)","3.0 (1.2)"
